rest,rest_code,review,wdate,review_count,clean_review,emotion
자매집,38267052,"찐두루치기, 꾸덕 쫀쫀, 푸짐.너무 그리웠던 두루치기 맛♡",2025-06-06,21,찐두루치기 꾸덕 쫀쫀 푸짐너무 그리웠던 두루치기 맛,1
자매집,38267052,봄비가 추적추적 내리는 날~ 돛나물에 건강한 밑반찬 김치찌개 잘 먹었습니다..^^ 외국인도 가성비 좋은 한식에 흰밥도 찰지고 맛있답니다..!!,2025-04-22,21,봄비가 추적추적 내리는 날 돛나물에 건강한 밑반찬 김치찌개 잘 먹었습니다 외국인도 가성비 좋은 한식에 흰밥도 찰지고 맛있답니다,1
자매집,38267052,"화요일마다 먹는 점심~ 자매집 명품 김치찌개 완전 맛있죠.. 밑반찬도 그날 그날 만들어서 나오니까 선선하고 파김치 봄동김치도 완전 맛있어요..!! 백반 1인분 7천원 가격도 너무 착하답니다~~^^ 전주명가 막걸리도 한잔 곁드리면 속도 시원하고, 점심식사하면서 담소도 나누며 화기애애한 분위기가 된답니다...ㅎㅎ",2025-03-18,21,화요일마다 먹는 점심 자매집 명품 김치찌개 완전 맛있죠 밑반찬도 그날 그날 만들어서 나오니까 선선하고 파김치 봄동김치도 완전 맛있어요 백반 1인분 7천원 가격도 너무 착하답니다 전주명가 막걸리도 한잔 곁드리면 속도 시원하고 점심식사하면서 담소도 나누며 화기애애한 분위기가 된답니다ㅎㅎ,1
자매집,38267052,매주 먹어도 안질리는 김찌찌개 잘 먹었습니다~^^ 외국인도 찾는 백반맛집..!!,2025-05-13,21,매주 먹어도 안질리는 김찌찌개 잘 먹었습니다 외국인도 찾는 백반맛집,1
자매집,38267052,"매주 먹어도 안질리고 맛있는 김찌찌개, 가성비도 좋고 와인보다 좋다는 막걸리 한사발하면 완전 딱이죠~^^",2025-04-29,21,매주 먹어도 안질리고 맛있는 김찌찌개 가성비도 좋고 와인보다 좋다는 막걸리 한사발하면 완전 딱이죠,1
자매집,38267052,목련꽃 필무렵~ 오늘도 김치찌개로 하루가 즐겁습니다~^^,2025-04-08,21,목련꽃 필무렵 오늘도 김치찌개로 하루가 즐겁습니다,1
자매집,38267052,이번주는 봄철보약 머위대무침에 도라지생채무침까지 몸이 좋아하는 음식 먹고 입이 즐겁습니다~!!,2025-04-15,21,이번주는 봄철보약 머위대무침에 도라지생채무침까지 몸이 좋아하는 음식 먹고 입이 즐겁습니다,1
자매집,38267052,"봄봄봄~ 오늘도 자매집 김치찌개 백반, 밑반찬도 건강식~~ 잘 먹었습니다~!!",2025-04-01,21,봄봄봄 오늘도 자매집 김치찌개 백반 밑반찬도 건강식 잘 먹었습니다,1
자매집,38267052,봄날~ 밑반찬도 맛있고 먹는 즐거움 굿입니다..^^,2025-03-25,21,봄날 밑반찬도 맛있고 먹는 즐거움 굿입니다,1
자매집,38267052,새콤하니 발효된 김치찌개 맛있어요~^^,2024-07-16,21,새콤하니 발효된 김치찌개 맛있어요,1
박가네수산시장,19936204,랍스터 코스 아주 좋아요!!맛있쥬.,2025-07-01,63,랍스터 코스 아주 좋아요맛있쥬,1
박가네수산시장,19936204,가족모임 ㅇㅖ약후 이용했는데 랍스터반마리코스 진짜 가짓수 많고 다맛있어서 가족모임 만족도 최상입니다! 다음에 또오고싶어요,2025-05-06,63,가족모임 ㅇ약후 이용했는데 랍스터반마리코스 진짜 가짓수 많고 다맛있어서 가족모임 만족도 최상입니다 다음에 또오고싶어요,1
박가네수산시장,19936204,친구들과 모임이 있어 예약 후 방문사장님 친절하신데음식들이 좀 차가워서 아쉬웠어요,2025-06-14,63,친구들과 모임이 있어 예약 후 방문사장님 친절하신데음식들이 좀 차가워서 아쉬웠어요,0
박가네수산시장,19936204,맛있어요,2025-03-28,63,맛있어요,1
박가네수산시장,19936204,코스는 그냥저냥 다 괜찮았는데 라면이 너무 한강 ... 이라 놀람,2024-02-20,63,코스는 그냥저냥 다 괜찮았는데 라면이 너무 한강 이라 놀람,0
박가네수산시장,19936204,점심특선!!!사장님 친절하시고 왕 맛있음회정식의 근본,2023-10-19,63,점심특선사장님 친절하시고 왕 맛있음회정식의 근본,1
박가네수산시장,19936204,맛있어요,2024-02-01,63,맛있어요,1
박가네수산시장,19936204,해신탕이 저렴하고 맛있어요,2023-08-05,63,해신탕이 저렴하고 맛있어요,1
박가네수산시장,19936204,친절해요,2023-12-16,63,친절해요,1
박가네수산시장,19936204,제입맛엔 안맞아요,2023-05-31,63,제입맛엔 안맞아요,0
맛뜨랑분식,1364605738,좋아요,2025-07-28,45,좋아요,1
